Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1207,100n,C_0603_1608Metric,80,58,0,top
C1208,100n,C_0603_1608Metric,80,54,0,top
C1209,100n,C_0603_1608Metric,80,50,0,top
C1210,100n,C_0603_1608Metric,80,46,0,top
C1211,100n,C_0603_1608Metric,80,42,0,top
C1212,100n,C_0603_1608Metric,80,38,0,top
D101,B5819W,D_SOD-123,52.5,73.25,90,top
D201,WS2812C-2020,BF@WS2812C-2020,50,95,180,top
D202,WS2812C-2020,BF@WS2812C-2020,54.70378,94.753485,174,top
D203,WS2812C-2020,BF@WS2812C-2020,59.356026,94.016642,168,top
D204,WS2812C-2020,BF@WS2812C-2020,63.905764,92.797543,162,top
D205,WS2812C-2020,BF@WS2812C-2020,68.303148,91.109545,156,top
D206,WS2812C-2020,BF@WS2812C-2020,72.499999,88.971143,150,top
D207,WS2812C-2020,BF@WS2812C-2020,76.450336,86.405764,144,top
D208,WS2812C-2020,BF@WS2812C-2020,80.110877,83.441517,138,top
D209,WS2812C-2020,BF@WS2812C-2020,83.441517,80.110877,132,top
D210,WS2812C-2020,BF@WS2812C-2020,86.405764,76.450336,126,top
D211,WS2812C-2020,BF@WS2812C-2020,88.971143,72.5,120,top
D212,WS2812C-2020,BF@WS2812C-2020,91.109545,68.303148,114,top
D213,WS2812C-2020,BF@WS2812C-2020,92.797543,63.905764,108,top
D214,WS2812C-2020,BF@WS2812C-2020,94.016642,59.356026,102,top
D215,WS2812C-2020,BF@WS2812C-2020,94.753485,54.70378,96,top
D216,WS2812C-2020,BF@WS2812C-2020,95,50,90,top
D217,WS2812C-2020,BF@WS2812C-2020,94.753485,45.29622,84,top
D218,WS2812C-2020,BF@WS2812C-2020,94.016642,40.643974,78,top
D219,WS2812C-2020,BF@WS2812C-2020,92.797543,36.094236,72,top
D220,WS2812C-2020,BF@WS2812C-2020,91.109545,31.696852,66,top
D221,WS2812C-2020,BF@WS2812C-2020,88.971143,27.500001,60,top
D222,WS2812C-2020,BF@WS2812C-2020,86.405764,23.549664,54,top
D223,WS2812C-2020,BF@WS2812C-2020,83.441517,19.889123,48,top
D224,WS2812C-2020,BF@WS2812C-2020,80.110877,16.558483,42,top
D225,WS2812C-2020,BF@WS2812C-2020,76.450336,13.594236,36,top
